N,P,K,temperature,humidity,pH,crop,Crop_N_kg_per_ha,Crop_P2O5_kg_per_ha,Crop_K2O_kg_per_ha,N_dosage_kg_per_ha,P2O5_dosage_kg_per_ha,K2O_dosage_kg_per_ha,Dosage_Notes,dosage
120,65,45,30,60.41,6.5,cotton,120,60,60,120,60,60,Standard Application,"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Standard Application"
115,40,50,15,60.41,7,wheat,120,60,40,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
100,55,55,40,60.41,6,kangkong,150,60,60,150,60,60,Side-dressing / Drenching (Heavy feeder),"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing / Drenching (Heavy feeder)"
103.54745391362556,10.0411947,88.19657703705504,24.82694043642336,59.27196546327667,6.148649577842756,mulberry,103.12642666591547,63.58620638,63.900741324915295,300,133.2497033455203,44.23335950112916,Standard Application,"N: 327.90 kg/ha, P2O5: 133.25 kg/ha, K2O: 44.23 kg/ha. Notes: Standard Application"
55.71415555640968,24.42772965340174,41.676319153788825,24.05216186515419,91.67142560836656,6.097318349705123,watermelon,78.23432017338646,60.06704859313418,61.897376758516565,67.41677046558998,48.77340346650875,10,Standard Application,"N: 67.42 kg/ha, P2O5: 48.77 kg/ha, K2O: 0.00 kg/ha. Notes: Standard Application"
19.310899752234324,25.77276339073625,21.20366236021474,27.241232958796985,60.71908327598084,6.941205643697367,urad,3.04640732,31.420877159015035,6.718801829242345,20,40,20,Side-dressing (Light-medium feeder),"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
150,28.053,146,29.355,51.455,6.298,wheat,156.478,73.68,46.638,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
48.91693215002524,81.28621734537458,22.283674609893776,16.945646056757884,27.55840060927809,5.7889639008244185,kidneybeans,24.24010085322869,41.63791652281138,30.90319507112299,25,45,20,Side-dressing (Light-medium feeder),"N: 25.00 kg/ha, P2O5: 45.00 kg/ha, K2O: 20.00 kg/ha. Notes: Side-dressing (Light-medium feeder)"
1,8,26,27.5136304,94.18955816,5.562911913,coconut,120,60,60,300,150,300,Standard Application,"N: 500.00 kg/ha, P2O5: 320.00 kg/ha, K2O: 1200.00 kg/ha. Notes: Standard Application"
25,85,24,30.135,48.423,7.305,blackgram,89.969,54.941,69.536,25,50,25,Standard Application,"N: 25.00 kg/ha, P2O5: 50.00 kg/ha, K2O: 25.00 kg/ha. Notes: Standard Application"
89,85,55,26.6719835,76.48541655,6.275384607,banana,120,60,60,300,130,300,Standard Application,"N: 400.00 kg/ha, P2O5: 130.00 kg/ha, K2O: 600.00 kg/ha. Notes: Standard Application"
75.97414824431652,56.23865993562704,43.59085402,24.66048384476573,90.36242289344848,6.482354518654287,jute,100.31577069969256,59.09708262384179,62.99331274141431,79.06580895,41.35146425432668,48.14306079853629,Standard Application,"N: 79.07 kg/ha, P2O5: 41.35 kg/ha, K2O: 48.14 kg/ha. Notes: Standard Application"
121.53921036154674,46.19424143508384,12.618425540849683,23.53226137899797,61.951078966271325,6.560723651367238,kangkong,130.45116166872742,58.48096630860098,56.03472430202217,150,60,60,Side-dressing / Drenching (Heavy feeder),"N: 150.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 60.00 kg/ha. Notes: Side-dressing / Drenching (Heavy feeder)"
87.73285608493755,62.41291378925537,74.29614778,22.71486976641071,55.70645948459141,7.295808672,wheat,127.39604856403956,60.88478557579882,44.33275344828965,120,60,40,Broadcasting (Medium feeder),"N: 120.00 kg/ha, P2O5: 60.00 kg/ha, K2O: 40.00 kg/ha. Notes: Broadcasting (Medium feeder)"
65,30,20,25,60.41,6,moong,15,30,15,20,40,20,Standard Application,"N: 20.00 kg/ha, P2O5: 40.00 kg/ha, K2O: 20.00 kg/ha. Notes: Standard Application"
