Trial,Target_Seconds,Target_ML,Actual_ML,ML_Per_Sec
1,19.09,38.2,38,1.99057098
2,2.23,4.5,5,2.242152466
3,29.69,59.4,60,2.020882452
4,1.96,3.9,4,2.040816327
5,6.81,13.6,14,2.055800294
6,25.77,51.5,51,1.979045402
7,9.88,19.8,20,2.024291498
8,3.44,6.9,7,2.034883721
9,23.42,46.8,46,1.964133219
10,26.09,52.2,53,2.031429667
11,14.25,28.5,28,1.964912281
12,2.57,5.1,5,1.945525292
13,16.02,32,32,1.997503121
14,16.52,33,32,1.937046005
15,22.16,44.3,45,2.030685921
16,28.95,57.9,59,2.037996546
17,28.54,57.1,57,1.997196917
18,15.15,30.3,30,1.98019802
19,21.56,43.1,43,1.994434137
20,10.85,21.7,22,2.02764977
21,6.11,12.2,12,1.963993453
22,18.51,37,37,1.998919503
23,14.45,28.9,29,2.006920415
24,22.09,44.2,44,1.991851517
25,8.09,16.2,16,1.977750309
26,2.09,4.2,4,1.913875598
27,18.15,36.3,36,1.983471074
28,24.47,48.9,48,1.961585615
29,26.31,52.6,52,1.976434816
30,23.74,47.5,48,2.02190396
31,23.52,47,46,1.955782313
32,14.98,30,30,2.002670227
33,17.7,35.4,36,2.033898305
34,5.16,10.3,11,2.131782946
35,5.77,11.5,12,2.079722704
36,6.24,12.5,13,2.083333333
37,23.68,47.4,48,2.027027027
38,25.47,50.9,50,1.963093836
39,28.28,56.6,56,1.98019802
40,22.32,44.6,45,2.016129032
41,21.21,42.4,43,2.027345592
42,2,4,4,2
43,2.46,4.9,5,2.032520325
44,7.69,15.4,16,2.080624187
45,14.77,29.5,30,2.031144211
46,28.4,56.8,57,2.007042254
47,2.43,4.9,5,2.057613169
48,21.64,43.3,43,1.987060998
49,2.48,5,6,2.419354839
50,11.68,23.4,23,1.969178082
51,5.1,10.2,10,1.960784314
52,24.98,50,49,1.961569255
53,20.98,42,42,2.001906578
54,26.45,52.9,53,2.003780718
55,16.36,32.7,32,1.95599022
56,28.54,57.1,58,2.032235459
57,25.63,51.3,51,1.989855638
58,28.92,57.8,57,1.970954357
59,9.26,18.5,18,1.943844492
60,25.33,50.7,50,1.97394394
61,5.29,10.6,10,1.890359168
62,6.69,13.4,14,2.092675635
63,10.89,21.8,21,1.928374656
64,11.41,22.8,23,2.015775635
65,27.63,55.3,55,1.990589938
66,24.34,48.7,49,2.013147083
67,28.46,56.9,56,1.967673928
68,12.42,24.8,25,2.012882448
69,9.14,18.3,19,2.078774617
70,22.21,44.4,45,2.026114363
71,26.65,53.3,54,2.026266417
72,13.29,26.6,27,2.031602709
73,24.32,48.6,49,2.014802632
74,7.85,15.7,16,2.038216561
75,4.56,9.1,9,1.973684211
76,28.38,56.8,56,1.973220578
77,12.72,25.4,25,1.965408805
78,22.6,45.2,46,2.03539823
79,5.16,10.3,10,1.937984496
80,14.64,29.3,30,2.049180328
81,13.99,28,28,2.001429593
82,28.89,57.8,57,1.973001038
83,22.66,45.3,46,2.030008826
84,1.66,3.3,4,2.409638554
85,9.88,19.8,20,2.024291498
86,15.67,31.3,31,1.978302489
87,28.09,56.2,57,2.029191883
88,18.21,36.4,36,1.97693575
89,11.83,23.7,24,2.02874049
90,11.38,22.8,23,2.021089631
91,14.03,28.1,28,1.99572345
92,3.49,7,7,2.005730659
93,19.99,40,41,2.051025513
94,11.95,23.9,25,2.092050209
95,11.27,22.5,22,1.952085182
96,26.55,53.1,53,1.996233522
97,16.35,32.7,32,1.957186544
98,6.79,13.6,14,2.06185567
99,4.69,9.4,10,2.132196162
100,13.01,26,26,1.998462721
