Trial,Target_Seconds,Target_ML,Actual_ML,ML_Per_Sec
1,5,120,117,23.4
2,5,120,122,24.4
3,5,120,122,24.4
4,5,120,118,23.6
5,5,120,122,24.4
6,5,120,117,23.4
7,5,120,122,24.4
8,5,120,122,24.4
9,5,120,119,23.8
10,5,120,118,23.6
11,5,120,118,23.6
12,5,120,117,23.4
13,5,120,123,24.6
14,5,120,118,23.6
15,5,120,118,23.6
16,5,120,123,24.6
17,5,120,117,23.4
18,5,120,120,24
19,5,120,122,24.4
20,5,120,122,24.4
21,5,120,120,24
22,5,120,120,24
23,5,120,119,23.8
24,5,120,118,23.6
25,5,120,118,23.6
26,5,120,123,24.6
27,5,120,119,23.8
28,5,120,117,23.4
29,5,120,121,24.2
30,5,120,117,23.4
31,5,120,117,23.4
32,5,120,117,23.4
33,5,120,123,24.6
34,5,120,121,24.2
35,5,120,123,24.6
36,5,120,117,23.4
37,5,120,120,24
38,5,120,118,23.6
39,5,120,119,23.8
40,5,120,117,23.4
41,5,120,118,23.6
42,5,120,120,24
43,5,120,121,24.2
44,5,120,121,24.2
45,5,120,123,24.6
46,5,120,121,24.2
47,5,120,121,24.2
48,5,120,118,23.6
49,5,120,120,24
50,5,120,118,23.6
51,5,120,123,24.6
52,5,120,118,23.6
53,5,120,117,23.4
54,5,120,119,23.8
55,5,120,121,24.2
56,5,120,117,23.4
57,5,120,118,23.6
58,5,120,118,23.6
59,5,120,121,24.2
60,5,120,119,23.8
61,5,120,122,24.4
62,5,120,123,24.6
63,5,120,123,24.6
64,5,120,118,23.6
65,5,120,121,24.2
66,5,120,121,24.2
67,5,120,120,24
68,5,120,117,23.4
69,5,120,120,24
70,5,120,122,24.4
71,5,120,121,24.2
72,5,120,117,23.4
73,5,120,119,23.8
74,5,120,119,23.8
75,5,120,119,23.8
76,5,120,121,24.2
77,5,120,117,23.4
78,5,120,121,24.2
79,5,120,117,23.4
80,5,120,117,23.4
81,5,120,120,24
82,5,120,118,23.6
83,5,120,119,23.8
84,5,120,118,23.6
85,5,120,118,23.6
86,5,120,122,24.4
87,5,120,122,24.4
88,5,120,117,23.4
89,5,120,120,24
90,5,120,121,24.2
91,5,120,118,23.6
92,5,120,121,24.2
93,5,120,118,23.6
94,5,120,121,24.2
95,5,120,118,23.6
96,5,120,123,24.6
97,5,120,118,23.6
98,5,120,122,24.4
99,5,120,118,23.6
100,5,120,119,23.8
