Trial,Target_X,Actual_X
1,45,45
2,704,703
3,154,154
4,667,667
5,574,574
6,348,348
7,791,791
8,125,125
9,585,585
10,358,358
11,504,504
12,183,183
13,63,63
14,215,215
15,662,662
16,758,757
17,748,748
18,489,489
19,556,556
20,593,593
21,758,758
22,629,629
23,351,351
24,256,256
25,272,272
26,118,118
27,715,714
28,433,433
29,356,356
30,96,96
31,265,265
32,151,151
33,494,494
34,778,778
35,670,670
36,652,652
37,384,384
38,785,784
39,762,761
40,703,703
41,647,647
42,645,645
43,82,82
44,762,761
45,105,105
46,40,40
47,138,138
48,788,787
49,98,98
50,124,124
51,218,218
52,233,233
53,644,644
54,450,450
55,383,383
56,84,84
57,242,242
58,303,303
59,322,322
60,783,782
61,625,625
62,480,480
63,579,579
64,292,292
65,347,347
66,737,737
67,16,16
68,685,685
69,109,109
70,500,500
71,124,124
72,11,11
73,319,319
74,665,665
75,148,148
76,485,485
77,478,478
78,348,348
79,656,655
80,625,625
81,718,718
82,485,485
83,26,26
84,729,729
85,407,407
86,281,281
87,287,287
88,218,218
89,664,664
90,421,421
91,358,358
92,180,180
93,147,147
94,343,343
95,57,57
96,699,699
97,242,242
98,501,501
99,481,481
100,521,521
